"cohens_d","looks","number_of_simulations","n","alpha_each_look","bf_cutoff_high","bf_cutoff_low","rscale_bf","high_eqbound_d","low_eqbound_d","alpha_each_n","power_sequential","asn_sequential","asn_bf","asn_coast","asn_bf_low","asn_bf_low_look","inconclusive_bf","bf_stop_high_before_low_looks","bf_stop_low_before_high_looks","power_tost","asn_tost"
0,3,20000,50,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0535,49.912,50.60135,0,17,51,0.981,0.019,0,0.3527,50.8623
0,3,20000,100,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.05265,99.807,101.2435,0,34,102,0.66045,0.01685,0.3227,0.883,81.0611
0,3,20000,150,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0516,146.8625,132.9725,0,50,133.84,0.3671,0.0136,0.6193,0.98225,88.6025
0,3,20000,200,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0518,196.78905,166.38445,0,67,167.48995,0.26515,0.0125,0.72235,0.9978,95.86695
0,3,20000,250,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0507,246.8256,201.3606,0,84,202.5156,0.2161,0.01135,0.77255,0.9997,104.1978
0,3,20000,300,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.04935,293.97,195.335,0,158.02,196.66,0.15165,0.0103,0.83805,1,113.8
0,3,20000,400,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.05165,393.7054,227.6124,0,256.8512,229.0864,0.11015,0.0085,0.88135,1,139.6213
0,3,20000,500,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0503,490.8464,262.2234,0,349.8984,264.01865,0.088,0.0081,0.9039,1,168.8203
0,3,20000,750,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.0498,735.4375,354.3625,0,578.875,356.7,0.05905,0.0073,0.93365,1,250.0875
0,3,20000,1000,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.05095,980.8244,448.1779,0,812.2045,450.4825,0.04525,0.0056,0.94915,1,334
0.1,3,20000,50,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.07615,49.5618,50.47045,0,17,51,0.9718,0.0282,0,0.31655,50.87675
0.1,3,20000,100,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.09595,98.5116,100.7488,0,34,102,0.71475,0.0348,0.25045,0.7976,83.5329
0.1,3,20000,150,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.1204,143.985,135.4575,0,50,137.4475,0.4868,0.04185,0.47135,0.93625,94.655
0.1,3,20000,200,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.14305,191.58985,172.70255,0,67,175.9085,0.4176,0.0496,0.5328,0.9806,104.8014
0.1,3,20000,250,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.1651,238.644,212.1546,0,84,216.6192,0.3927,0.05815,0.54915,0.9946,114.6432
0.1,3,20000,300,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.19115,282.02,216.925,0,142.37,222.8,0.32545,0.06475,0.6098,0.99835,124.825
0.1,3,20000,400,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.2416,371.3475,266.4858,0,218.8622,276.5827,0.2912,0.08505,0.62375,0.9999,149.2626
0.1,3,20000,500,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.2975,454.28175,320.43125,0,285.3028,335.2525,0.2812,0.09995,0.61885,1,175.9679
0.1,3,20000,750,0.022051567533325,6,0.166666666666667,0.707106781186548,0.5,-0.5,0.022051567533325,0.41885,652.075,466.6875,0,435.5375,499.3625,0.2638,0.1497,0.5865,1,251.6625
